"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Dog API","Listagem de Raças","Validar conteúdo das raças","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Buscar imagem aleatória","0","0","1","0","0"
"Dog API","Testes de Integração","Fluxo completo: Lista → Seleciona → Busca imagens","0","0","1","0","0"
"Dog API","Imagens por Raça","Testar diferentes raças","0","0","1","0","0"
"Dog API","Imagens por Raça","Buscar imagens por raça","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar headers da resposta","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar aleatoriedade","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar performance","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Testar limite de múltiplas imagens","0","0","1","0","0"
"Dog API","Testes de Integração","Validar consistência de dados entre endpoints","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar URL da imagem","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar estrutura da resposta","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Buscar imagem aleatória por raça","0","0","1","0","0"
"Dog API","Testes de Integração","Validar tipos de conteúdo","0","0","1","0","0"
"Dog API","Imagens por Raça","Testar raça inexistente","0","0","1","0","0"
"Dog API","Imagens por Raça","Validar estrutura da resposta","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar múltiplas imagens aleatórias","0","0","1","0","0"
"Dog API","Testes de Integração","Testar robustez da API","0","0","1","0","0"
"Dog API","Imagens por Raça","Validar performance","0","0","1","0","0"
"Dog API","Listagem de Raças","Validar formato dos nomes das raças","0","0","1","0","0"
"Dog API","Listagem de Raças","Validar estrutura da resposta","0","0","1","0","0"
"Dog API","Listagem de Raças","Validar sub-raças","0","0","1","0","0"
"Dog API","Testes de Integração","Comparar imagem aleatória geral vs específica","0","0","1","0","0"
"Dog API","Listagem de Raças","Validar headers da resposta","0","0","1","0","0"
"Dog API","Listagem de Raças","Validar consistência dos dados","0","0","1","0","0"
"Dog API","Listagem de Raças","Validar performance","0","0","1","0","0"
"Dog API","Testes de Integração","Testar performance em sequência","0","0","1","0","0"
"Dog API","Listagem de Raças","Buscar todas as raças","0","0","1","0","0"
"Dog API","Imagens Aleatórias","Validar múltiplas imagens por raça","0","0","1","0","0"
"Dog API","Imagens por Raça","Validar URLs das imagens","0","0","1","0","0"
